id,brand_name,japanese_brand_name
1,±0, プラスマイナスゼロ
2,0000 by n゜44 A.C.C.,ゼロゼロゼロゼロバイナンバー44エーシーシー
3,0044 paris, ゼロゼロヨンヨン・パリ
4,02DERIV., ツーディライブ
5,941, オーナインフォーワン
6,10Deep, テンディープ
7,15jyugo, ジューゴ
8,18th Amendment, エイティーンス・アメンドメント
9,1984, ナインティーンエイティフォー
10,1LDK SELECT, ワンエルディーケー・セレクト
11,1 Percent, イチパーセント
12,"20,000,000 fragments", トゥエンティーミリオンフラッグメンツ
13,21_21 DESIGN SIGHT, トゥーワン・トゥーワン・デザインサイト
14,291295=HOMME, ニーキュウイチニーキュウゴー・オム
15,2e/yuki.o, ニイーユキオー
16,2K by Gingham, ツー・ケイ・バイ・ギンガム
17,2plus-alpha, ツープラスアルファ
18,2-tacs, ツータックス
19,3.1 Phillip Lim,?スリーワン・フィリップ・リム
20,31 Sons de mode, トランテアン ソン ドゥ モード
21,3 Suisses,?トロワシュイス
22,430, フォーサーティ
23,4TH, フォース
24,501, ゴーマルイチ
25,5&10CARTEL, ファイブアンドテンカルテル
26,5351 POUR LES FEMMES, ゴーサンゴーイチプーラファム
27,5351 POUR LES HOMMES, ゴーサンゴーイチプールオム
28,555SOUL, トリプルファイブソウル
29,55DSL, フィフティーファイブディーエスエル
30,57FAKE, フィフティセブンフェイク
31,666, シックスシックスシックス
32,68&brothers, シックスティエイトアンドブラザーズ
33,76, セブンティシックス
34,7 For All Mankind, セブンフォーオールマンカインド
35,7Union, セブンユニオン
36,81LDK, ハイエルディーケー
37,8iGHT, エイト
38,+8PARIS ROCK, プラスエイトパリスロック
39,999.9, フォーナインズ
40,A ,?エィス
41,A BATHING APE ,?ア・ベイシング・エイプ
42,Abercrombie & Fitch ,?アバクロンビーアンドフィッチ
43,ABAHOUSE ,?アバハウス
44,Abahouse Devinette ,?アバハウス・ドゥヴィネット
45,abbieannia , アビエニア
46,ABSTRISE , アブストライズ
47,abx , エービーエックス
48,ACAPULCO GOLD , アカプルコゴールド
49,ACCENTUAL , アクセンチュアル
50,ACNE ,?アクネ
51,Acne Jeans , アクネジーンズ
52,A.coba lt , アコバルト
53,acoustic by RICO , アコースティック・バイ・リコ
54,ACT , アクト
55,A.D. , エーディー
56,adabat , アダバット
57,Adam et Rop?（Adam et Rope） , アダム・エ・ロペ
58,ADAMITE , アダマイト
59,Adam Kimmel , アダム・キメル
60,adapt , アダプト
61,ADD , アデデ
62,ADDICT , アディクト
63,ADDITION ADELAIDE , アディッション・アデライデ
64,ADDICTIVE , アディクティブ
65,Adia Kibur , アディア・キブラ
66,adidas ,?アディダス
67,adidas originals , アディダスオリジナルス
68,ADIDAS×OKI-NI , アディダスオキニ
69,Admiral , アドミラル
70,Adolf , アドルフ
71,ADORE , アドーア
72,Advantage cycle , アドバンテージサイクル
73,AERONAUTICA MILITARE , アエロナウティカ・ミリターレ
74,AEROPOSTALE , エアロポステール
75,AFFA , エー・エフ・エフ・エー
76,AFTERBASE , アフターベース
77,A.F.VANDEVORST , エーエフヴァンデヴォルスト
78,AG , エージー
79,A&G , エーアンドジー
80,AGAINST MY KILLER , アゲインスト・マイ・キラー
81,Agatha , アガタ
82,AG?ed , エイジド
83,AGENT KNOCK , エージェントノック
84,agn?s b.（agnes b.） ,?アニエス・ベー
85,Agnona?, アニオナ
86,Agosto , アゴスト
87,AGOSTO KIDS , アゴスト・キッズ
88,AGOSTO SHOP , アゴスト・ショップ
89,AGOSTO WORKS , アゴスト・ワークス
90,Agronatura , アグロナチュラ
91,AGURI SAGIMORI , アグリ・サギモリ
92,AHKAH , アーカー
93,AIGLE ,?エーグル
94,AIPA , アイパ
95,AIRIPSUS , アイリプサス
96,AIRWALK , エアウォーク
97,AKADEMIKS , アカデミクス
98,AKERICO , アケリコ
99,AKM , アカミネ（エイケイエム）
100,AKRIS , アクリス
101,ALTER VENOMV , オルターベノム
102,ALA , アラ
103,Alain Silberstein ,?アラン・シルベスタイン
104,Alan Journo , アラン・ヨウルノ
105,ALAKAZAM! , アラカザム
106,A. Lange & S?hne（A. Lange & Sohne） ,?ランゲ・アンド・ゾーネ
107,alanmikli , アランミクリ
108,ALASKAN GOOSE , アラスカングース
109,ALBAROSA , アルバローザ
110,ALBATROS , アルバトロス
111,ALBERTA FERRETTI , アルベルタフェレッティ
112,alcali , アルカリ
113,Alden , オールデン
114,ALDIES , アールディーズ
115,ALDO , アルド
116,Aleanto , アレアント
117,ALEESI , アレッシー
118,Alessandro Dell'Acqua , アレッサンドロ・デラクア
119,AlexanderLeeChang , アレキサンダーリーチャン
120,Alexander McQueen ,?アレキサンダー・マックイーン
121,Alexander McQueen×PUMA ,?アレキサンダー・マックイーン×プーマ
122,Alexander Wang ,?アレキサンダー・ワン
123,ALEXANDRE DE PARIS , アレクサンドル・ドゥ・パリ
124,Alexanders Collection , アレキサンダース・コレクション（ホーム ファッション）
125,ALEX.B , アレックスビー
126,alfredoBANNISTER ,?アルフレッド・バニスター
127,alfredoBANNISTER IN , アルフレッドバニスターイン
128,Alfred Sargent , アルフレッド・サージェント
129,Algonquins ,?アルゴンキン
130,ALIAS , エイリアス
131,alice+olivia , アリス・オリビア
132,aliceMcCALL , アリスマッコール
133,ALIEN WOOIN' , エイリアンウーウィン
134,ALIFE , エーライフ
135,ALIMA , アリマ
136,Alive Athletics , アライブアスレティックス
137,alksndlia , アレクサンドリア
138,allegri , アレグリ
139,ALL FOR ONE , オールフォーワン
140,ALL GROWN UP BY BLONDY , オール・グロウン・アップ・バイ・ブロンディ
141,All Saints , オールセインツ
142,ALLY & DIA , アリーアンドダイア
143,ALMIGHTY , オールマイティ
144,ALMOND , アーモンド
145,ALPHA INDUSTRIES ,?アルファ・インダストリーズ
146,alphanumeric , アルファヌメリック
147,Al Somers , アルソマーズ
148,ALTAMONT , オルタモント
149,ALTEA , アルテア
150,alternative version WR , オルタナティブバージョンダブルアール
151,Altuzarra , アルチュザラ
152,AMACA , アマカ
153,amadana , アマダナ
154,(A) MAD T PARTY , マッドティーパーティ
155,Amanda Wakeley , アマンダ・ウェイクリー
156,AMBIGUOUS , アンビギュアス
157,AMBUSH , アンブッシュ
158,AMERICANA , アメリカーナ
159,American Apparel ,?アメリカンアパレル
160,AMERICAN EAGLE OUTFITTERS ,?アメリカン・イーグル・アウトフィッターズ
161,AMERICAN FLYER , アメリカン・フライヤー
162,AMERICAN RAG CIE ,?アメリカンラグシー
163,AMERICAN RETRO , アメリカンレトロ
164,AMG-THE DARKEST NIG , エーエムジー ザ ダーケスト ニグ
165,AMIMOC , アミモック
166,AM NAPORI , エーエムナポリ
167,AMOS , エイモス
168,amp japan , アンプジャパン
169,AM purple , エーエムパープル
170,anachronorm , アナクロノーム
171,Analog Clothing , アナログ・クロージング
172,analog lighting , アナログライティング
173,ANAP ,?アナップ
